num_communities,community_size_range,calls_per_connection_range,duration_range,density,num_samples,dataset_name,csv_filename
5,"(3, 5)","(1, 2)","(30, 120)",0.5,50,dataset_config_1,/content/datasets/dataset_config_1
10,"(5, 7)","(1, 3)","(30, 180)",0.4,100,dataset_config_2,/content/datasets/dataset_config_2
100,"(5, 100)","(1, 5)","(30, 380)",0.4,5000,dataset_config_3,/content/datasets/dataset_config_3
5000,"(5, 100)","(1, 5)","(30, 380)",0.4,50000,dataset_config_4,/content/datasets/dataset_config_4
